Dia_Inicio,Status,Tempo,Obj,Gap,Total_Entregas,Pico_Maximo
1,OPTIMAL,125.8,172307.45844699995,0.001787680370154662,3415.0,246.0
32,OPTIMAL,269.92,324650.0226420002,0.001665115327233269,6313.0,500.0
63,OPTIMAL,326.76,312641.7581950002,0.0018728278067223375,6106.0,498.0
94,OPTIMAL,364.15,318398.8856880002,0.0019798253184746015,6225.0,511.0
125,OPTIMAL,334.17,314737.3463950002,0.0017812274280405794,6152.0,508.0
156,OPTIMAL,531.45,320635.1682790002,0.0017660259046087389,6261.0,529.0
187,OPTIMAL,446.72,316719.3506850001,0.0019392916988458992,6187.0,510.0
218,OPTIMAL,493.56,317056.03274800023,0.0016791370785692505,6188.0,629.0
249,OPTIMAL,410.0,315843.97226500016,0.0018982822098665513,6174.0,532.0
280,OPTIMAL,282.34,313082.23447300016,0.0019029930694089096,6114.0,534.0
311,OPTIMAL,444.7,318230.0542110002,0.001978037086975905,6233.0,545.0
342,OPTIMAL,13.16,200258.15095699992,0.0015308562294388296,3859.0,638.0
